state,county,Donald Trump,Right_Joe Biden,Sum_total_votes,Trump ratio,Biden ratio
Georgia,Irwin County,3134,1008,4168,0.751919386,0.24184261
Georgia,Jackson County,29502,7642,37675,0.783065693,0.20284008
Georgia,Jasper County,5822,1761,7644,0.761643119,0.230376766
Georgia,Jeff Davis County,4695,1028,5771,0.813550511,0.17813204
Georgia,Jefferson County,3537,4058,7639,0.46301872,0.531221364
Georgia,Jenkins County,2161,1266,3455,0.625470333,0.36642547
Georgia,Johnson County,2850,1222,4100,0.695121951,0.29804878
Georgia,Jones County,9940,4882,14934,0.665595286,0.326905049
Georgia,Lamar County,6331,2620,9045,0.699944721,0.289662797
Georgia,Lanier County,2509,1019,3576,0.701621924,0.284955257
Georgia,Laurens County,14493,8074,22731,0.637587436,0.355197748
Georgia,Lee County,12007,4558,16714,0.718379801,0.272705516
Georgia,Liberty County,7959,13104,21394,0.372020193,0.61250818
Georgia,Lincoln County,3173,1432,4641,0.68368886,0.308554191
Georgia,Long County,3527,2035,5657,0.62347534,0.359731306
Georgia,Lowndes County,25692,20116,46355,0.554244418,0.433955345
Georgia,Lumpkin County,12163,3126,15531,0.783143391,0.20127487
Georgia,Macon County,1783,2858,4663,0.382371864,0.612910144
Georgia,Madison County,11326,3411,14937,0.758251322,0.228359108
Georgia,Marion County,2275,1312,3625,0.627586207,0.361931034
Georgia,McDuffie County,6169,4168,10455,0.590052606,0.398660928
Georgia,McIntosh County,4016,2612,6696,0.599761051,0.390083632
Georgia,Meriwether County,6524,4287,10877,0.599797738,0.394134412
Georgia,Miller County,2066,748,2834,0.72900494,0.263937897
Georgia,Mitchell County,4935,3993,8962,0.550658335,0.445547869
Georgia,Monroe County,11057,4385,15590,0.70923669,0.281270045
Georgia,Montgomery County,2960,980,3967,0.746155785,0.247038064
Georgia,Morgan County,8231,3353,11706,0.703143687,0.286434307
Georgia,Murray County,12944,2301,15389,0.841120281,0.149522386
Georgia,Muscogee County,30107,49446,80514,0.373934968,0.61412922
Georgia,Newton County,23869,29789,54234,0.440111369,0.549267987
Georgia,Oconee County,16595,8162,25168,0.65936904,0.324300699
Georgia,Oglethorpe County,5592,2439,8133,0.687569163,0.29988934
Georgia,Paulding County,54517,29695,85372,0.638581736,0.34783067
Georgia,Peach County,6506,5922,12553,0.518282482,0.471759739
Georgia,Pickens County,14110,2824,17167,0.821925788,0.16450166
Georgia,Pierce County,7898,1100,9047,0.872996573,0.121587266
Georgia,Pike County,9127,1505,10720,0.851399254,0.140391791
Georgia,Polk County,13587,3657,17396,0.781041619,0.21022074
Georgia,Pulaski County,2815,1230,4081,0.689781916,0.301396716
Georgia,Putnam County,8291,3448,11855,0.699367356,0.290847744
Georgia,Quitman County,604,497,1106,0.546112116,0.449367089
Georgia,Rabun County,7474,1984,9568,0.781145485,0.20735786
Georgia,Randolph County,1390,1671,3073,0.452326717,0.543768305
Georgia,Richmond County,26780,59119,87009,0.307784252,0.679458447
Georgia,Rockdale County,13014,31237,44681,0.291264743,0.699111479
Georgia,Schley County,1800,462,2275,0.791208791,0.203076923
Georgia,Screven County,3915,2661,6627,0.590765052,0.401539158
Georgia,Seminole County,2613,1256,3888,0.672067901,0.323045267
Georgia,Spalding County,18104,11828,30211,0.599251928,0.391513025
Georgia,Stephens County,9367,2386,11885,0.788136306,0.200757257
Georgia,Stewart County,801,1182,1990,0.402512563,0.593969849
Georgia,Sumter County,5733,6314,12148,0.471929536,0.519756338
Georgia,Talbot County,1392,2114,3522,0.395229983,0.600227144
Georgia,Taliaferro County,360,561,928,0.387931034,0.604525862
Georgia,Tattnall County,6054,2062,8185,0.739645693,0.251924252
Georgia,Taylor County,2420,1388,3842,0.629880271,0.361270172
Georgia,Telfair County,2825,1488,4334,0.651822796,0.343331795
Georgia,Terrell County,2004,2376,4416,0.453804348,0.538043478
Georgia,Thomas County,12969,8708,21872,0.59294989,0.398134601
Georgia,Tift County,10784,5318,16279,0.662448553,0.326678543
Georgia,Toombs County,7873,2938,10914,0.721367051,0.269195529
Georgia,Towns County,6384,1550,7979,0.800100263,0.194259932
Georgia,Treutlen County,2101,952,3077,0.68280793,0.309392265
Georgia,Troup County,18142,11577,30047,0.6037874,0.385296369
Georgia,Turner County,2349,1409,3791,0.619625429,0.371669744
